"orgName","type","invoiceText","startOn","cost","currency","qty"
"Venture Hub","EXTEND","Virtual Line Business ","2018-06-23","645.1613","THB","1"
"P&P Petshop","EXTEND","Virtual Line Professional ","2018-05-18","250.0","THB","1"
"Tomato Ideas Co Ltd","EXTEND","Virtual Line Professional ","2018-05-01","250.0","THB","1"
"Asianwise Consulting & Solutions","EXTEND","Call Recording Standard ","2018-05-13","320.0","THB","1"
"Digital Monopoly (Asia) Co.,Ltd.","EXTEND","BizPhone Standard ","2018-05-01","200.0","THB","1"
"LH Bank","TERMINATE","BizPhone Standard ","2018-04-01","-1200.0","THB","1"
"Chameleon Strategies Co,.Ltd (2)","EXTEND","Call Recording Standard ","2018-04-16","200.0","THB","1"
"Project Victor Co., Ltd.","EXTEND","Call Recording Standard ","2018-06-01","200.0","THB","1"
"Nittsu Logistics ( Thailand ) Co., Ltd.","EXTEND","Call Recording Standard ","2018-06-01","200.0","THB","1"
"Indigo International Co.,Ltd.","EXTEND","Call Recording Standard ","2018-05-16","300.0","THB","1"
"Nice Loop","EXTEND","BizPhone Standard ","2018-05-17","200.0","THB","1"
"Drivehub Co.,Ltd.","EXTEND","Virtual Line Business ","2018-05-01","500.0","THB","1"
"More Than a Game Cafe","EXTEND","Call Recording Standard ","2018-06-01","500.0","THB","1"
"WSMART","EXTEND","Call Recording Standard ","2018-06-01","400.0","THB","2"
"Digital Monopoly (Asia) Co.,Ltd.","EXTEND","Direct Line Professional ","2018-05-01","150.0","THB","3"
"NP Medical Co., Ltd.","EXTEND","BizPhone Standard ","2018-05-25","300.0","THB","1"
"Tomato Ideas Co Ltd","EXTEND","BizPhone Standard ","2018-06-01","200.0","THB","1"
"Alliance Group (Regency)","EXTEND","Virtual Line Professional ","2018-06-01","250.0","THB","1"
"Rado Estate Co.,Ltd.","EXTEND","Call Recording Standard ","2018-05-01","200.0","THB","1"
"Mediakeys","EXTEND","BizPhone Standard ","2018-04-16","200.0","THB","1"
"Mind System Service Company Limited","EXTEND","Virtual Line Professional ","2018-06-07","322.5806","THB","1"
"Asianwise Consulting & Solutions","EXTEND","Virtual Line Professional ","2018-05-13","400.0","THB","1"
"NP Medical Co., Ltd.","EXTEND","Call Recording Standard ","2018-06-25","367.7419","THB","1"
"H.B. Group International Ltd.","EXTEND","Call Recording Standard ","2018-06-01","200.0","THB","1"
"EMC Square","EXTEND","Call Tracking Standard ","2018-05-02","1000.0","THB","1"
"Direct Asia","EXTEND","Call Tracking Standard ","2018-06-01","2500.0","THB","1"
"Coins Co.,Ltd.","EXTEND","Call Recording Standard ","2018-06-01","200.0","THB","2"
"Sharge Solutions Co.,Ltd.","EXTEND","BizPhone Standard ","2018-06-01","200.0","THB","1"
"Khun Santosh","EXTEND","BizPhone Standard ","2018-06-17","200.0","THB","1"
"Cloudee-Live","RENEW","Call Tracking Standard ","2018-05-01","1300.0","THB","1"
"Ocean Property Company Limited","EXTEND","Virtual Line Business Plus ","2018-06-01","1000.0","THB","1"
"More Than a Game Cafe","EXTEND","Virtual Line Business ","2018-05-01","500.0","THB","1"
"Zipevent Co., Ltd.","EXTEND","BizPhone Standard ","2018-06-03","400.0","THB","1"
"Phoenix Media","EXTEND","Call Recording Standard ","2018-05-08","200.0","THB","1"
"Phoenix Media","EXTEND","BizPhone Standard ","2018-04-08","200.0","THB","1"
"Total","147426.4516"
