"orgName","type","invoiceText","startOn","cost","currency","qty"
"Coins Co.,Ltd.","EXTEND","BizPhone Standard ","2018-05-01","100.0","THB","1"
"Chameleon Strategies Co,.Ltd (2)","EXTEND","Virtual Line Professional ","2018-04-16","250.0","THB","1"
"DeeMoney","SKU_CHANGE","Virtual Line Business Plus - 1 Thailand - Bangkok","2018-04-11","0.0","THB","1"
"Nice Loop","EXTEND","Virtual Line Professional ","2018-04-17","250.0","THB","1"
"WSMART","EXTEND","Virtual Line Professional ","2018-04-12","250.0","THB","10"
"Mediakeys","EXTEND","Call Recording Standard ","2018-04-16","200.0","THB","1"
"Digital Monopoly (Asia) Co.,Ltd.","EXTEND","Call Recording Standard ","2018-05-01","400.0","THB","2"
"Mediakeys","EXTEND","Virtual Line Professional ","2018-05-16","250.0","THB","1"
"LH Bank","TERMINATE","Virtual Line Business Ultimate ","2018-04-01","-2000.0","THB","1"
"ISS Facility Services","EXTEND","Virtual Line Business Plus ","2018-06-03","1000.0","THB","1"
"Rado Estate Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-06-01","250.0","THB","1"
"Global Blue (Thailand)","EXTEND","BizPhone Standard ","2018-05-01","100.0","THB","1"
"Dmatrix.Co,Ltd.","EXTEND","BizPhone Standard ","2018-05-30","300.0","THB","1"
"H.B. Group International Ltd.","EXTEND","Virtual Line Professional ","2018-05-01","250.0","THB","1"
"Venture Hub","EXTEND","BizPhone Standard ","2018-06-23","903.2258","THB","1"
"Sharge Solutions Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-06-01","250.0","THB","1"
"Phoenix Media","EXTEND","Virtual Line Professional ","2018-05-08","250.0","THB","1"
"Built Land","REACTIVATE","Call Recording Standard ","2018-04-21","677.4194","THB","1"
"Alliance Group (Mother Company)","EXTEND","Call Recording Standard ","2018-06-03","600.0","THB","1"
"Coins Co.,Ltd.","EXTEND","BizPhone Standard ","2018-06-01","100.0","THB","1"
"Direct Asia","SKU_CHANGE","Call Tracking Standard - 5 Tracked Number","2018-05-08","387.0968","THB","1"
"Drivehub Co.,Ltd.","EXTEND","BizPhone Standard ","2018-06-01","400.0","THB","1"
"Asianwise Consulting & Solutions","EXTEND","BizPhone Standard ","2018-04-13","200.0","THB","1"
"Digital Monopoly (Asia) Co.,Ltd.","EXTEND","Call Recording Standard ","2018-06-01","400.0","THB","2"
"Khun Santosh","EXTEND","Virtual Line Professional ","2018-05-17","250.0","THB","1"
"Cloudee-Live","RENEW","BizPhone Standard ","2018-06-01","300.0","THB","1"
